filename,Chewy(bread),Watery(like soup),Crunchy(vegetables  not chips or fried food),Crispy(Fried food/chips/toast),Soft(rice  noodles  bread),Tender(meat  shrimp  etc),Creamy(pudding  thick soup  egg yolk),Crumbly(Pie  tart  cookie)
00000147.jpg,0,0,0,0,1,0,1,0
00000148.jpg,0,1,0,0,1,0,0,0
00000149.jpg,1,1,0,0,1,0,0,0
00000150.jpg,0,0,0,0,1,0,1,0
00000151.jpg,1,0,1,0,1,1,0,0
00000152.jpg,0,0,0,0,1,0,1,0
00000153.jpg,0,0,0,0,1,0,1,0
00000154.jpg,1,0,1,0,1,1,1,0
00000156.jpg,1,0,1,1,1,0,1,0
00000158.jpg,1,0,1,0,1,0,0,0
00000159.jpg,1,0,1,0,1,0,0,0
00000160.jpg,1,0,1,0,1,1,1,0
00000161.jpg,1,0,1,0,1,1,1,0
00000162.jpg,1,0,0,0,1,0,1,0
00000163.jpg,1,0,1,0,1,1,0,0
00000164.jpg,1,0,1,0,1,1,0,0
00000165.jpg,0,0,1,0,1,0,1,1
00000166.jpg,1,0,1,0,1,1,0,0
00000167.jpg,1,0,1,0,0,1,0,0
00000169.jpg,0,1,0,0,1,0,0,0
00000170.jpg,0,0,0,0,1,1,1,1
00000171.jpg,1,0,1,0,1,1,0,0
00000172.jpg,1,1,0,0,1,0,0,0
00000173.jpg,1,0,1,0,1,1,0,0
00000174.jpg,0,1,1,0,1,0,1,0
00000175.jpg,1,0,1,0,1,0,1,0
00000176.jpg,1,0,1,0,1,1,0,0
00000177.jpg,1,0,0,0,1,0,1,0
00000178.jpg,1,0,1,0,1,1,0,0
00000179.jpg,1,0,1,0,1,1,0,0
00000180.jpg,1,0,1,0,1,0,0,0
00000181.jpg,1,0,1,0,1,0,0,0
00000182.jpg,1,0,1,0,1,1,0,0
00000183.jpg,0,0,1,0,1,0,1,0
00000184.jpg,1,0,1,0,1,0,1,0
00000185.jpg,1,0,1,0,1,0,0,0
00000186.jpg,0,0,0,0,1,0,1,0
00000187.jpg,1,0,1,0,1,1,1,0
00000188.jpg,1,0,1,0,1,0,1,0
00000189.jpg,1,0,0,0,0,0,1,0
00000191.jpg,0,0,1,0,1,0,1,0
00000192.jpg,1,0,1,0,1,1,0,0
00000193.jpg,0,1,0,0,1,0,0,0
00000194.jpg,0,0,1,0,1,0,1,0
00000195.jpg,1,1,0,0,0,0,0,0
00000196.jpg,1,0,0,0,0,0,1,0
00000197.jpg,1,0,0,0,1,1,1,0
00000198.jpg,1,0,1,0,1,1,0,0
00000199.jpg,0,0,1,0,1,1,0,0
00000200.jpg,1,0,1,0,1,0,1,0
00000201.jpg,1,0,1,0,1,1,1,0
00000202.jpg,1,1,1,0,1,1,0,0
00000203.jpg,1,0,1,0,0,0,0,0
00000204.jpg,1,0,1,0,0,1,1,0
00000205.jpg,0,0,0,0,1,1,0,0
00000206.jpg,1,0,1,0,1,0,1,0
00000207.jpg,1,0,1,0,0,1,0,0
00000208.jpg,1,0,1,0,1,1,0,0
00000209.jpg,1,0,1,0,1,1,0,0
00000210.jpg,0,0,0,0,1,0,1,0
00000211.jpg,0,1,0,0,1,0,0,0
00000212.jpg,0,0,0,0,1,0,1,0
00000213.jpg,0,0,1,0,0,0,1,0
00000214.jpg,0,0,1,0,1,0,1,0
00000215.jpg,0,0,0,0,1,0,1,0
00000216.jpg,1,0,1,0,1,1,0,0
00000217.jpg,1,0,1,0,0,1,1,0
00000218.jpg,1,0,1,0,1,1,0,0
00000219.jpg,1,0,1,0,1,0,0,0
00000220.jpg,1,0,1,0,0,1,0,0
00000221.jpg,1,0,1,0,1,0,0,0
00000222.jpg,0,0,1,0,1,0,1,0
00000223.jpg,1,0,1,0,1,1,0,0
00000224.jpg,0,0,0,0,1,0,1,0
00000225.jpg,1,0,1,0,1,1,0,0
00000226.jpg,0,1,0,0,0,0,1,1
00000227.jpg,1,0,1,0,0,0,1,0
00000228.jpg,1,1,0,0,1,0,1,0
00000229.jpg,1,0,0,0,1,1,0,0
00000230.jpg,1,0,1,0,1,0,1,0
00000231.jpg,0,1,0,0,1,0,0,0
00000232.jpg,0,0,0,0,1,0,1,0
00000233.jpg,1,0,1,0,1,1,0,0
00000234.jpg,1,0,1,0,0,0,1,0
00000235.jpg,1,0,1,0,1,1,0,0
00000236.jpg,0,0,0,0,1,0,1,0
00000237.jpg,0,1,0,0,1,0,0,0
00000238.jpg,1,0,1,0,1,0,0,0
00000239.jpg,1,0,1,0,1,0,0,0
00000240.jpg,1,0,1,0,1,0,0,0
00000241.jpg,1,0,1,0,0,1,0,0
00000242.jpg,1,0,1,0,1,0,1,0
00000243.jpg,0,0,1,0,1,1,0,0
00000244.jpg,1,0,1,0,1,0,0,0
00000245.jpg,0,0,0,0,1,0,1,0
00000246.jpg,1,0,1,0,1,1,0,0
00000247.jpg,1,0,1,0,1,1,1,0
00000248.jpg,1,0,1,0,1,1,0,0
00000249.jpg,1,0,1,0,1,0,0,0
00000250.jpg,1,0,1,1,0,1,0,0
00000251.jpg,0,0,1,0,0,0,1,1
00000252.jpg,0,0,0,0,1,0,1,0
00000253.jpg,1,0,1,0,1,1,1,0
00000254.jpg,0,0,1,0,0,0,1,1
00000255.jpg,1,0,1,0,1,0,0,0
00000256.jpg,0,0,1,0,1,0,1,0
00000257.jpg,1,0,1,0,1,0,0,0
00000258.jpg,0,0,1,0,0,0,1,1
00000259.jpg,1,1,0,0,1,0,1,0
00000260.jpg,1,0,1,0,1,0,1,0
00000261.jpg,1,0,0,0,1,0,0,0
00000262.jpg,1,0,1,0,1,0,0,0
00000264.jpg,1,0,1,0,1,1,0,0
00000265.jpg,1,0,1,0,1,1,0,0
00000266.jpg,1,0,1,1,1,1,0,0
00000267.jpg,1,0,1,0,1,0,0,0
00000268.jpg,1,0,1,0,0,0,0,0
00000269.jpg,0,0,1,0,1,1,0,0
00000270.jpg,1,0,0,0,1,0,0,0
00000271.jpg,1,0,1,0,1,1,0,0
00000272.jpg,0,0,1,0,1,0,0,0
00000273.jpg,0,1,0,0,1,0,0,0
00000274.jpg,1,0,0,0,1,1,0,0
00000275.jpg,1,0,0,0,1,0,0,0
00000276.jpg,0,0,1,0,0,0,1,0
00000277.jpg,1,0,0,0,1,0,0,0
00000278.jpg,1,0,0,0,0,1,1,0
00000279.jpg,1,0,1,0,1,0,1,0
00000280.jpg,0,0,1,1,1,0,1,0
00000281.jpg,0,1,0,0,1,0,1,0
00000282.jpg,1,0,1,0,1,1,0,0
00000283.jpg,1,0,0,0,1,0,1,0
00000284.jpg,1,0,1,0,0,0,0,0
00000285.jpg,1,1,0,0,1,1,0,0
00000286.jpg,1,0,1,0,1,1,0,0
00000287.jpg,1,0,0,0,1,1,0,0
00000288.jpg,1,0,1,0,1,0,0,0
00000289.jpg,1,0,1,0,1,0,0,0
00000290.jpg,1,0,1,0,1,1,1,0
00000291.jpg,1,0,0,0,1,0,1,0
00000292.jpg,0,0,0,0,1,0,1,0
00000293.jpg,1,0,1,0,0,1,1,0
00000294.jpg,1,0,1,0,1,1,0,0
00000295.jpg,0,1,1,0,0,0,0,0
00000296.jpg,0,0,0,0,1,0,1,0
00000297.jpg,1,0,1,0,0,0,0,0
00000298.jpg,1,0,0,0,1,0,0,0
00000299.jpg,0,0,1,0,1,1,0,0
00000300.jpg,1,0,0,0,1,1,0,0
00000301.jpg,0,0,1,0,1,1,0,0
00000302.jpg,1,0,1,0,1,1,1,0
00000303.jpg,1,0,1,0,1,0,0,0
00000304.jpg,1,0,1,1,1,1,0,0
00000305.jpg,0,0,0,0,1,0,1,0
00000306.jpg,0,0,0,0,1,0,1,0
00000307.jpg,1,0,1,0,1,1,1,0
00000308.jpg,1,0,0,0,0,0,1,0
00000309.jpg,1,0,1,0,1,1,0,0
00000310.jpg,1,0,0,1,1,0,0,0
00000311.jpg,1,0,1,0,1,1,1,0
00000312.jpg,1,0,1,1,1,1,1,0
00000313.jpg,1,0,1,0,1,1,0,0
00000314.jpg,1,0,1,0,1,1,0,0
00000315.jpg,1,0,1,0,1,0,1,0
00000316.jpg,1,0,1,0,1,1,0,0
00000317.jpg,0,0,1,0,1,1,0,0
00000318.jpg,1,0,1,0,1,0,1,0
00000319.jpg,1,0,1,0,1,0,0,0
00000320.jpg,1,0,1,0,1,1,0,0
00000321.jpg,1,0,1,0,1,0,0,0
00000322.jpg,1,0,1,0,1,1,0,0
00000323.jpg,0,0,1,0,1,1,0,0
00000324.jpg,0,0,1,0,0,0,1,0
00000325.jpg,0,0,1,0,1,0,1,0
00000326.jpg,0,1,0,0,0,0,0,1
00000328.jpg,0,0,0,0,1,0,1,0
00000329.jpg,1,0,1,0,1,1,0,0
00000330.jpg,0,0,1,0,0,0,0,0
00000331.jpg,0,0,0,0,0,0,1,1
00000332.jpg,0,1,0,0,1,0,0,0
00000333.jpg,1,1,1,0,1,1,1,0
00000334.jpg,0,0,1,0,1,0,0,0
00000335.jpg,1,0,1,0,1,1,0,0
00000336.jpg,1,0,0,0,1,1,0,0
00000337.jpg,0,0,1,0,1,1,0,0
00000338.jpg,0,0,1,0,1,1,0,0
00000339.jpg,1,0,1,0,1,0,0,0
00000340.jpg,1,0,1,0,1,0,0,0
00000341.jpg,1,0,1,0,1,1,0,0
00000342.jpg,1,0,1,0,1,0,1,0
00000343.jpg,1,0,1,0,1,0,0,0
00000344.jpg,1,0,1,0,1,0,0,0
00000345.jpg,1,0,1,0,0,0,0,0
00000346.jpg,1,0,0,0,1,0,1,0
00000347.jpg,1,0,1,0,1,0,1,0
00000348.jpg,0,0,0,0,1,0,1,0
00000349.jpg,1,0,1,0,1,1,0,0
00000350.jpg,1,1,0,0,1,0,0,0
00000351.jpg,1,0,0,0,1,1,1,0
00000352.jpg,1,0,1,0,1,1,0,0
00000353.jpg,1,0,1,0,0,1,1,0
00000354.jpg,1,0,1,0,0,0,0,0
00000355.jpg,1,0,1,0,1,1,0,0
00000356.jpg,1,1,1,0,1,0,0,0
00000357.jpg,1,0,1,0,1,1,0,0
00000358.jpg,1,0,1,0,1,1,0,0
00000359.jpg,1,0,1,0,1,1,0,0
00000360.jpg,0,0,0,0,1,0,1,0
00000361.jpg,1,0,1,0,1,0,0,0
00000362.jpg,0,0,1,0,1,1,0,0
00000363.jpg,1,0,0,1,1,1,1,0
00000364.jpg,1,0,1,0,1,1,0,0
00000365.jpg,0,0,1,0,1,1,0,0
00000366.jpg,1,0,1,1,0,1,0,0
00000367.jpg,0,0,1,0,0,1,1,0
00000368.jpg,0,0,1,0,1,0,1,1
00000369.jpg,1,0,1,0,1,0,1,0
00000370.jpg,1,0,1,0,1,0,0,0
00000372.jpg,0,0,0,0,1,1,0,0
00000373.jpg,0,0,1,0,0,0,1,0
00000374.jpg,1,0,1,0,0,0,0,0
00000375.jpg,1,0,1,0,1,1,0,0
00000376.jpg,0,0,0,0,0,0,1,1
00000377.jpg,1,0,1,0,1,1,0,0
00000378.jpg,1,0,1,0,1,1,0,0
00000380.jpg,1,0,0,0,1,0,0,0
00000381.jpg,1,0,1,0,0,1,1,0
00000382.jpg,1,0,0,0,1,0,0,0
00000383.jpg,0,0,0,0,1,0,1,0
00000384.jpg,1,0,0,0,1,0,0,1
00000385.jpg,1,0,0,0,1,0,1,0
00000387.jpg,1,0,1,0,1,0,1,0
00000388.jpg,1,0,1,0,1,1,0,0
00000389.jpg,1,0,1,0,1,1,0,0
00000390.jpg,1,0,1,0,1,1,0,0
00000391.jpg,1,0,1,1,1,1,0,0
00000392.jpg,1,0,1,0,1,0,0,0
00000393.jpg,1,0,0,0,1,0,0,0
00000394.jpg,1,0,1,0,1,1,0,0
00000395.jpg,1,0,1,0,1,1,0,0
00000396.jpg,1,0,1,0,1,1,1,0
00000397.jpg,1,0,1,0,1,0,0,0
00000398.jpg,1,0,1,0,1,0,0,0
00000399.jpg,0,1,0,0,0,0,1,0
00000400.jpg,1,0,1,0,1,0,1,0
00000401.jpg,0,0,0,0,1,0,1,0
00000402.jpg,0,1,1,0,1,0,0,0
00000403.jpg,0,0,0,1,0,0,1,0
00000404.jpg,0,0,0,0,1,0,1,0
00000405.jpg,1,1,0,0,1,1,0,0
00000406.jpg,1,0,0,0,1,0,1,0
00000407.jpg,1,0,1,1,1,1,0,0
00000408.jpg,0,0,0,0,1,0,1,0
00000409.jpg,1,0,1,0,1,0,1,0
00000410.jpg,1,0,1,0,0,1,0,0
00000411.jpg,1,0,0,0,1,0,0,0
00000412.jpg,1,0,1,0,1,1,0,0
00000414.jpg,0,0,0,0,1,0,1,0
00000415.jpg,0,0,1,0,0,0,0,0
00000416.jpg,1,0,1,1,1,1,0,0
00000417.jpg,0,0,0,0,1,1,1,0
00000418.jpg,1,0,1,0,1,1,0,0
00000419.jpg,1,0,1,0,1,1,0,0
00000420.jpg,0,0,1,0,0,1,0,0
00000421.jpg,1,0,1,0,1,0,1,0
00000422.jpg,1,0,1,0,1,1,0,0
00000423.jpg,1,1,1,0,1,1,0,0
00000424.jpg,1,0,1,0,0,1,0,0
00000425.jpg,1,1,1,0,0,0,0,0
00000426.jpg,1,0,1,0,1,1,0,0
00000427.jpg,1,0,0,1,1,0,0,0
00000428.jpg,1,0,1,0,1,0,0,0
00000429.jpg,0,0,1,0,1,0,1,0
00000430.jpg,1,0,1,0,1,0,0,0
00000431.jpg,1,0,0,0,1,0,1,0
00000432.jpg,1,0,1,0,1,1,0,0
00000433.jpg,1,0,1,0,1,0,0,0
00000434.jpg,1,0,0,0,1,1,0,0
00000435.jpg,1,0,1,0,1,1,1,0
00000436.jpg,1,0,0,0,1,0,0,0
00000437.jpg,1,0,0,0,1,1,0,0
00000438.jpg,1,0,1,0,0,1,0,0
00000439.jpg,0,0,1,0,1,1,0,0
00000440.jpg,1,0,1,0,1,1,0,0
00000441.jpg,1,0,0,0,1,0,0,0
00000442.jpg,1,0,0,0,1,0,1,0
00000443.jpg,1,0,1,0,1,0,0,0
00000444.jpg,1,0,0,1,1,1,0,0
00000445.jpg,1,0,1,0,1,1,0,0
00000446.jpg,1,0,1,0,0,1,0,0
00000447.jpg,1,0,0,0,1,0,0,0
00000448.jpg,1,0,1,0,1,1,0,0
00000449.jpg,1,0,0,0,1,0,0,0
00000450.jpg,0,0,1,0,1,1,0,0
00000451.jpg,1,0,0,0,1,0,1,0
00000452.jpg,0,1,0,0,0,0,1,1
00000453.jpg,0,0,0,0,0,0,0,1
00000454.jpg,1,0,1,0,1,0,1,0
00000455.jpg,1,0,0,0,1,1,0,0
00000456.jpg,1,0,1,0,1,1,1,0
00000457.jpg,0,0,1,0,1,0,1,0
00000458.jpg,1,0,1,0,1,0,0,0
00000459.jpg,1,0,0,0,1,1,0,0
00000460.jpg,1,0,1,0,1,0,1,0
00000461.jpg,0,0,1,0,1,1,0,0
00000462.jpg,1,0,1,0,1,1,0,0
00000463.jpg,1,0,1,0,1,0,0,0
00000464.jpg,0,0,1,0,1,0,1,0
00000465.jpg,1,0,0,0,1,1,1,0
00000466.jpg,1,0,1,0,1,1,0,0
00000467.jpg,0,0,0,0,1,0,1,0
00000468.jpg,1,0,1,0,0,0,0,0
00000469.jpg,1,0,1,0,1,0,1,0
00000470.jpg,1,0,1,0,1,1,0,0
00000471.jpg,1,0,1,0,1,0,0,0
00000472.jpg,1,0,1,1,1,1,1,0
00000473.jpg,1,0,1,0,1,0,1,0
00000474.jpg,1,0,1,0,1,0,0,0
00000475.jpg,0,1,0,0,0,0,0,1
00000476.jpg,0,0,1,0,1,0,1,0
00000477.jpg,0,0,1,0,1,0,1,0
00000478.jpg,0,1,0,0,1,0,1,0
00000479.jpg,0,0,0,0,1,0,1,0
00000480.jpg,1,1,1,0,0,1,0,0
00000481.jpg,0,0,1,0,0,0,0,0
00000482.jpg,1,0,1,0,1,1,0,0
00000483.jpg,1,0,1,0,1,0,1,0
00000484.jpg,1,0,0,0,1,0,0,0
00000485.jpg,0,0,1,0,1,0,0,0
00000486.jpg,1,0,1,0,1,1,0,0
00000487.jpg,0,0,0,0,1,0,1,0
00000488.jpg,0,0,1,0,0,0,1,0
00000489.jpg,1,0,1,0,1,0,1,0
00000490.jpg,1,0,1,0,1,0,1,0
00000491.jpg,1,0,1,0,1,1,1,0
00000492.jpg,1,1,0,0,1,1,1,0
00000493.jpg,1,0,1,0,1,0,0,0
00000494.jpg,1,0,1,0,0,1,0,0
00000495.jpg,1,0,0,0,1,0,0,0
00000496.jpg,0,0,0,0,1,0,1,0
00000497.jpg,1,0,1,0,1,0,1,0
00000498.jpg,1,0,1,0,1,1,1,0
00000499.jpg,0,0,0,0,1,0,1,0
00000500.jpg,1,0,1,0,1,1,1,0
00000501.jpg,1,0,1,0,1,0,0,0
00000503.jpg,0,0,0,0,0,0,1,1
00000504.jpg,1,0,1,0,1,1,0,0
00000505.jpg,1,1,0,0,1,0,1,0
00000506.jpg,1,0,1,0,1,1,0,0
00000507.jpg,0,0,1,0,1,1,0,0
00000508.jpg,1,0,1,0,1,0,0,0
00000509.jpg,1,1,1,0,0,0,0,0
00000510.jpg,1,0,1,0,1,1,0,0
00000511.jpg,0,0,0,0,1,0,1,0
00000512.jpg,1,0,1,0,0,0,0,0
00000513.jpg,1,0,1,0,1,1,0,0
00000514.jpg,0,0,1,0,1,0,1,0
00000516.jpg,0,0,1,0,0,0,1,0
00000517.jpg,1,0,1,0,1,1,0,0
00000518.jpg,1,0,1,0,0,1,0,0
00000519.jpg,1,0,0,0,1,0,1,0
00000520.jpg,1,0,0,0,1,0,0,0
00000521.jpg,0,0,0,0,1,0,1,0
00000522.jpg,1,0,1,0,1,0,0,0
00000523.jpg,1,0,0,0,1,0,1,0
00000524.jpg,1,0,1,0,1,1,1,0
00000526.jpg,1,0,0,0,1,1,0,0
00000527.jpg,0,0,1,0,0,0,1,0
00000528.jpg,1,0,1,0,1,1,1,0
00000529.jpg,1,0,0,0,1,0,1,0
00000530.jpg,1,0,1,0,0,1,0,0
00000531.jpg,1,1,0,0,1,0,0,0
00000532.jpg,1,0,0,0,1,1,0,0
00000533.jpg,1,0,0,1,1,1,1,0
00000534.jpg,1,0,0,0,1,0,1,0
00000535.jpg,0,0,1,0,1,0,0,0
00000536.jpg,0,0,1,0,1,1,0,0
00000537.jpg,0,0,1,0,0,0,1,0
00000538.jpg,1,0,1,0,1,0,1,0
00000539.jpg,1,0,1,0,1,0,0,0
00000540.jpg,1,0,1,0,1,0,1,0
00000541.jpg,1,0,1,0,1,1,1,0
00000542.jpg,1,0,0,0,1,0,0,0
00000543.jpg,1,0,1,0,1,1,0,0
00000544.jpg,1,0,1,0,0,1,0,0
00000545.jpg,1,0,0,0,1,0,1,0
00000546.jpg,1,0,1,0,1,0,0,0
00000547.jpg,1,0,0,0,1,0,0,0
00000548.jpg,1,0,1,0,1,1,1,0
00000549.jpg,1,0,1,0,1,1,0,0
00000550.jpg,0,0,1,0,1,0,1,0
00000551.jpg,1,0,1,0,1,0,0,0
00000552.jpg,1,0,1,0,1,0,0,0
00000553.jpg,1,0,1,0,1,1,0,0
00000554.jpg,1,0,1,0,1,0,1,0
00000555.jpg,0,0,0,0,1,0,1,0
00000556.jpg,0,0,1,0,1,1,1,0
00000557.jpg,1,0,0,0,1,1,1,0
00000558.jpg,1,0,0,0,1,0,1,0
00000559.jpg,0,0,0,0,1,0,1,0
00000560.jpg,1,0,1,1,1,0,1,0
00000561.jpg,0,0,1,0,0,0,1,0
00000562.jpg,1,0,0,0,1,0,0,0
00000563.jpg,1,0,1,0,1,1,0,0
00000564.jpg,0,0,1,0,1,1,0,0
00000565.jpg,1,0,1,0,1,0,0,0
00000566.jpg,1,0,1,0,1,1,0,0
00000567.jpg,1,0,1,0,1,1,0,0
00000568.jpg,1,0,1,0,1,1,0,0
00000569.jpg,0,0,1,0,1,0,0,0
00000570.jpg,0,0,0,0,1,0,1,1
00000571.jpg,0,0,1,0,1,1,0,0
00000573.jpg,1,0,0,0,1,0,0,0
00000574.jpg,1,0,1,0,1,0,0,0
00000575.jpg,1,0,1,0,1,0,0,0
00000577.jpg,1,0,1,0,1,1,1,0
00000578.jpg,1,0,1,0,1,1,1,0
00000579.jpg,1,0,1,0,1,0,0,0
00000580.jpg,1,0,0,0,1,1,1,0
00000581.jpg,1,0,0,0,1,1,0,0
00000582.jpg,1,0,1,0,1,0,1,0
00000583.jpg,0,0,0,0,1,0,1,0
00000584.jpg,1,0,1,0,1,1,0,0
00000585.jpg,1,0,1,0,1,1,0,0
00000586.jpg,1,0,0,0,1,1,1,0
00000587.jpg,0,0,1,0,1,0,1,0
00000588.jpg,1,0,1,0,1,1,0,0
00000589.jpg,0,0,1,0,1,1,0,0
00000590.jpg,1,0,1,1,1,1,1,0
00000591.jpg,1,0,1,0,1,0,1,0
00000592.jpg,1,0,1,0,1,1,1,0
